original_ID,ndimage_ID
309,308
2224,2223
1220,1219
1711,1710
2371,2370
1365,1364
871,867
1911,1910
587,586
1430,1429
236,235
2537,2536
1637,1636
1694,1694
1225,1224
365,364
1831,1830
1152,1151
2438,2437
468,467
1248,1247
1463,1462
897,897
693,693
2331,2330
1595,1594
1274,1273
2251,2250
2253,2252
1545,1544
1871,1870
1037,1035
705,703
982,981
2019,2018
1456,1455
1536,1535
2512,2511
1568,1567
1216,1215
2284,2284
991,990
905,904
1674,1672
1031,1030
2193,2192
1121,1120
1367,1365
1311,1310
1127,1126
2221,2219
1408,1407
2171,2171
895,894
1590,1589
789,788
1088,1087
1249,1248
1720,1717
1884,1883
1034,1034
2383,2382
704,704
466,465
2228,2227
943,942
1997,1996
1363,1362
548,547
475,474
360,359
1202,1199
1865,1864
408,406
1059,1058
724,722
1813,1812
828,828
1849,1848
805,804
2194,2194
1353,1352
1125,1124
1343,1342
758,757
1530,1529
1400,1399
671,669
907,906
462,461
2436,2435
1941,1940
1183,1182
952,949
406,405
745,744
1692,1691
2104,2099
829,827
2080,2079
